pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
15.950387,3.885582,18.294435,16.728625,3.810386,18.391232,16.75463,3.792314,17.634742,15.911408,1.375813,15.706625,16.674831,0.929338,14.762857,15.215434,0.531115,15.032746,NaN,NaN,NaN
16.010453,3.926493,18.272047,16.734436,3.777829,18.426112,16.719584,3.768245,17.678497,15.866609,1.34591,15.731131,16.696632,0.939413,14.650046,15.211017,0.442483,15.181648,NaN,NaN,NaN
16.005797,3.922274,18.271551,16.729752,3.774098,18.426104,16.714908,3.764525,17.678478,15.867141,1.344202,15.728687,16.696553,0.937536,14.649194,15.210896,0.441107,15.181252,NaN,NaN,NaN
16.000366,3.917032,18.272752,16.722899,3.768784,18.427568,16.70807,3.759225,17.679922,15.865593,1.342798,15.728498,16.69694,0.934285,14.650323,15.210039,0.438182,15.182041,NaN,NaN,NaN
15.993975,3.910424,18.276177,16.717144,3.762301,18.429418,16.701708,3.752594,17.683364,15.865392,1.339542,15.727254,16.696043,0.932546,14.648098,15.209919,0.436807,15.181645,NaN,NaN,NaN
15.986958,3.904291,18.277666,16.709476,3.757116,18.429478,16.694717,3.746436,17.68488,15.864495,1.337803,15.725011,16.695808,0.9298,14.64732,15.209798,0.435432,15.18125,NaN,NaN,NaN
15.980411,3.89747,18.2776,16.70309,3.75111,18.429389,16.687541,3.739933,17.686923,15.864414,1.335922,15.724158,16.695572,0.927053,14.646541,15.209556,0.432681,15.180458,NaN,NaN,NaN
15.972904,3.889284,18.279758,16.696369,3.743894,18.42991,16.679585,3.733046,17.687113,15.863517,1.334183,15.721915,16.695376,0.923803,14.6453,15.209435,0.431306,15.180062,NaN,NaN,NaN
15.96546,3.880711,18.277443,16.689821,3.737672,18.42633,16.671663,3.725647,17.686848,15.863121,1.330569,15.721204,16.694984,0.920186,14.644593,15.209194,0.428555,15.179271,NaN,NaN,NaN
15.957492,3.870601,18.276251,16.682484,3.727659,18.423588,16.663449,3.715889,17.690275,15.86292,1.327313,15.71996,16.69555,0.91798,14.641701,15.208952,0.425804,15.178479,NaN,NaN,NaN
15.948088,3.861101,18.27171,16.673854,3.719113,18.417425,16.657101,3.710966,17.679484,15.862024,1.325574,15.717717,16.69504,0.91299,14.640604,15.208871,0.423923,15.177617,NaN,NaN,NaN
15.938587,3.852325,18.271236,16.665765,3.710833,18.417252,16.650305,3.699274,17.674259,15.861779,1.323502,15.713421,16.694025,0.909878,14.63799,15.208509,0.419797,15.17643,NaN,NaN,NaN
15.89563,3.848623,18.267948,16.642018,3.724985,18.383659,16.626615,3.713391,17.640867,15.861578,1.320246,15.712177,16.694435,0.906802,14.635169,15.208227,0.417552,15.176104,NaN,NaN,NaN
15.888031,3.83378,18.252891,16.614814,3.695101,18.42735,16.603345,3.688205,17.675343,15.860562,1.317133,15.709543,16.693263,0.902821,14.632627,15.207371,0.415315,15.173386,NaN,NaN,NaN
15.8816,3.828333,18.253202,16.60788,3.691463,18.426154,16.595831,3.684539,17.671761,15.859546,1.314021,15.706909,16.692248,0.899709,14.630012,15.206969,0.411695,15.172664,NaN,NaN,NaN
15.874885,3.824558,18.250976,16.60108,3.685771,18.423128,16.588962,3.671132,17.659543,15.859144,1.311082,15.702684,16.692383,0.89439,14.626874,15.205952,0.408589,15.170015,NaN,NaN,NaN
15.869416,3.820476,18.249062,16.594962,3.673375,18.409137,16.582845,3.668019,17.656191,15.858785,1.30696,15.70151,16.69125,0.889905,14.62387,15.206365,0.405507,15.167177,NaN,NaN,NaN
15.864067,3.817765,18.247531,16.589017,3.670601,18.405242,16.576957,3.664096,17.655404,15.857611,1.302981,15.698947,16.690583,0.884045,14.622846,15.205147,0.402038,15.165064,NaN,NaN,NaN
15.858094,3.81553,18.244063,16.583004,3.668855,18.402263,16.570805,3.661497,17.652507,15.857247,1.299534,15.69426,16.687605,0.86862,14.620242,15.204664,0.396536,15.163481,NaN,NaN,NaN
